Timestamp,Editor ou IDE que você usa para programar em Python a maior parte do tempo,Sistema operacional do computador que você usa ao programar aplicações Python,Outros editores ou IDE que você usou por 12 horas ou mais em 2012 (opcional)
1/2/2013 13:38:19,Sublime Text,Mac OSX,"Eclipse + PyDev, vim"
1/2/2013 14:07:25,vim,Mac OSX,Visual Studio
1/2/2013 14:23:25,Geany,GNU/Linux,
1/2/2013 14:34:39,vim,Mac OSX,
1/2/2013 14:36:42,TextMate,Mac OSX,"Sublime Text, vim"
1/2/2013 14:58:52,PyCharm,Windows,"Eclipse + PyDev, NotePad++ (software livre para Windows)"
1/2/2013 15:19:30,Jape,GNU/Linux,
1/2/2013 15:26:27,vim,Mac OSX,"Sublime Text, TextMate"
1/2/2013 15:28:10,Gedit,GNU/Linux,"Eclipse + PyDev, IDLE, Kate e derivados, NotePad++ (software livre para Windows)"
1/2/2013 15:34:32,Aptana,GNU/Linux,"Gedit, NotePad++ (software livre para Windows)"
1/2/2013 16:12:15,Sublime Text,GNU/Linux,vim
1/2/2013 16:38:01,Sublime Text,Mac OSX,"PyCharm, TextMate"
1/2/2013 17:17:41,Sublime Text,GNU/Linux,PyCharm
1/2/2013 18:44:12,Gedit,GNU/Linux,vim
1/2/2013 20:56:49,Sublime Text,GNU/Linux,"Eclipse + PyDev, PyCharm, Sublime Text, vim"
1/2/2013 21:12:24,vim,Mac OSX,"Emacs e derivados, Sublime Text, TextMate"
1/2/2013 21:13:05,vim,GNU/Linux,Gedit
1/2/2013 21:19:53,Sublime Text,Mac OSX,vim
1/2/2013 21:35:30,vim,Mac OSX,"Sublime Text, TextMate"
1/2/2013 21:40:50,vim,*BSD,Sublime Text
1/2/2013 22:04:47,Eclipse + PyDev,Mac OSX,Sublime Text
1/2/2013 22:16:52,PyCharm,Windows,"Komodo Edit (gratuito), Sublime Text"
1/2/2013 22:50:04,vim,Mac OSX,"Emacs e derivados, vim"
1/2/2013 23:17:19,Sublime Text,GNU/Linux,vim
1/2/2013 23:17:40,WingIDE,GNU/Linux,"Emacs e derivados, Geany, Gedit, Komodo Edit (gratuito), PyCharm"
1/2/2013 23:18:27,vim,Mac OSX,"Aptana, vim"
1/2/2013 23:18:32,Komodo Edit (gratuito),GNU/Linux,NotePad++ (software livre para Windows)
1/2/2013 23:19:04,Sublime Text,GNU/Linux,Eclipse + PyDev
1/2/2013 23:19:08,Sublime Text,Mac OSX,"Eclipse + PyDev, TextMate, vim"
1/2/2013 23:19:13,PyCharm,GNU/Linux,WingIDE
1/2/2013 23:19:38,Sublime Text,Mac OSX,"TextMate, vim"
